name,brand,price_eur_usa,price_eur_uae,abs_gap_eur,abs_gap_pct,cheaper_in
Fahrenheit,Dior,80.44,233.52,153.08,190.3,USA
Pour Femme Dylan Blue,Versace,102.45,46.61,55.84,119.8,UAE
L'Aventure Knight,Al Haramain,27.17,58.26,31.09,114.4,USA
L'Aventure,Al Haramain,27.17,58.26,31.09,114.4,USA
Bleu de Chanel,Chanel,109.55,218.83,109.28,99.8,USA
Sauvage Elixir,Dior,148.71,78.77,69.94,88.8,UAE
Ultra Male,Jean Paul Gaultier,81.68,143.09,61.41,75.2,USA
Hawas Elixir,Rasasi,37.24,22.61,14.63,64.7,UAE
Hawas Viper,Rasasi,37.24,22.61,14.63,64.7,UAE
Hawas Black,Rasasi,37.24,22.61,14.63,64.7,UAE
Le Male Le Parfum,Jean Paul Gaultier,90.64,143.09,52.45,57.9,USA
Le Male,Jean Paul Gaultier,66.48,97.65,31.17,46.9,USA
Dior Homme Intense 2025,Dior,150.12,109.3,40.82,37.3,UAE
Royal Blend Bourbon,French Avenue,40.23,29.6,10.63,35.9,UAE
